label,video_url,file_exists,letter,assuntos,acepção,exemplo,exemplo libras,classe gramatical,origem
ALTO-FALANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alto-falanteSm_Prog001.mp4,True,A,APARELHO/MÁQUINA,"Amplificador do som; aparelho que aumenta o volume do som, possibilitando o envio de mensagens a um grande público.",Onde está o alto-falante?,ONDE ALTO-FALANTE?,SUBSTANTIVO,Nacional
ALTO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alto1Sm_Prog001.mp4,True,A,NENHUM,"Crescido, de grande estatura; elevado; profundo; nobre.",Você já é alto.,VOCÊ JÁ ALT@!,ADJETIVO,Nacional
ALTO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alto2Sm_Prog001.mp4,True,A,NENHUM,De grande estatura.,A maioria das pessoas que joga basquete é alta.,MAIORIA PESSOA BASQUETE TOD@ ALT@.,ADJETIVO,Nacional
ALTO3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alto3Sm_Prog001.mp4,True,A,NENHUM,Em grande volume; acima do tom.,Ele fala alto.,EL@ FALAR ALT@!,ADJETIVO,Nacional
ALTO4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alto4Sm_Prog001.mp4,True,A,NENHUM,De grande valor; bem remunerado.,O salário dos juízes é alto.,JUIZ SALÁRIO ALT@.,ADJETIVO,Nacional
ALTURA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alturaSm_Prog001.mp4,True,A,NENHUM,Tamanho; dimensão vertical de um corpo.,Qual é a altura do armário?,ARMÁRIO ALTURA?,SUBSTANTIVO,Nacional
ALUGAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alugarSm_Prog001.mp4,True,A,NENHUM,"Ocupar ou ceder um espaço por certo tempo, mediante pagamento.",Vou alugar a minha casa.,ME@ CASA ALUGAR.,VERBO,Nacional
ALUGUEL1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aluguelSm_Prog001.mp4,True,A,NENHUM,Cessão ou aquisição de um objeto ou serviço por tempo e preço combinados.,O meu pai recebe aluguel de três casas.,ME@ P-A-I RECEBER-ALUGUEL CASA TRÊS.,SUBSTANTIVO,Nacional
ALUGUEL2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aluguel2Sm_Prog001.mp4,True,A,NUMERAL/DINHEIRO,Cessão de um espaço ou de outros para uso de alguém mediante pagamento de valor estabelecido em contrato.,Você sabe onde fica a loja que vende e aluga apartamentos?,VOCÊ SABER ONDE L-O-J-A CASA APARTAMENTO VENDA ALUGUEL ?,SUBSTANTIVO,Nacional
ALUMÍNIO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aluminioSm_Prog001.mp4,True,A,MATÉRIA/SUBSTÂNCIA,"Metal branco, leve, com o brilho da prata. Tem amplo emprego na indústria metalúrgica e como componente de muitos outros metais.","A janela da minha casa é de alumínio, boa e forte.",JANELA ME@ CASA FERRO^BRILHAR BO@ FORTE.,SUBSTANTIVO,Nacional
ALUNO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aluno1Sm_Prog001.mp4,True,A,NENHUM,Pessoa que recebe lições de um professor ou mestre.,Todos os alunos do INES são surdos.,INES ALUN@ TOD@ SURD@.,SUBSTANTIVO,Nacional
ALUNO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aluno2Sm_Prog001.mp4,True,A,NENHUM,Pessoa que recebe lições de um professor ou mestre.,Todos os alunos do INES são surdos.,INES A-L-U-N-O TOD@ SURD@.,SUBSTANTIVO,Nacional
ALVO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/alvoSm_Prog001.mp4,True,A,NENHUM,Mira; ponto para onde se dirige um objeto lançado.,O homem atirou a flecha e acertou bem no alvo!,HOMEM ATIRAR-FLECHA ACERTAR-ALVO PERFEITO!,SUBSTANTIVO,Nacional
AMAMENTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amamentarSm_Prog001.mp4,True,A,NENHUM,Oferecer o leite do seio; dar de mamar.,"O cachorrinho está fraco e magro, precisa ser amamentado.",FILH@ CACHORR@ PEQUEN@ FRAC@ MAGR@ PRECISAR AMAMENTAR.,VERBO,Nacional
AMANHÃ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amanhaSm_Prog001.mp4,True,A,NENHUM,O dia seguinte àquele em que estamos.,Amanhã haverá aula de biologia.,AMANHÃ TER AULA BIOLOGIA.,ADV.,Nacional
AMANHECER,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amanhecerSm_Prog001.mp4,True,A,NENHUM,O nascer do dia; a hora em que o sol começa a surgir no horizonte.,Eu trabalho de madrugada e ao amanhecer eu vou embora para casa.,EU TRABALHAR MADRUGADA AMANHECER EMBORA CASA.,VERBO,Nacional
AMANSAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amansarSm_Prog001.mp4,True,A,NENHUM,Tornar-se manso; deixar de ser agressivo.,Ele amansou o gato dele.,EL@ AMANSAR GAT@ DEL@.,VERBO,Nacional
AMANTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amanteSm_Prog001.mp4,True,A,NENHUM,Aquele que ama; pessoa que mantém uma relação amorosa.,Ela tem um amante há cinco anos.,EL@ TER AMANTE 5 ANO.,ADJETIVO,Nacional
AMAPÁ,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amapa1Sm_Prog001.mp4,False,A,PAÍS/ESTADO/CIDADE,"Estado do norte do Brasil, que tem como capital a cidade de Macapá.",O Amapá fica longe do Rio de Janeiro.,AMAPÁ LONGE RIO-DE-JANEIRO.,SUBSTANTIVO,Nacional
AMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amar1Sm_Prog001.mp4,False,A,NENHUM,Sentir afeto; gostar muito.,Minha esposa me ama muito!,ESPOS@ ME@ AMARmuito EU.,VERBO,Nacional
AMARELINHA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amarelinhaSm_Prog001.mp4,True,A,ESPORTE/DIVERSÃO,"Brincadeira infantil de pular sobre um dos pés, em casas riscadas no chão.",Criança adora brincar de amarelinha todos os dias.,BRINCAR^PULAR CRIANÇA ADORAR TOD@-DIA BRINCAR.,SUBSTANTIVO,Nacional
AMARELO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amareloSm_Prog001.mp4,True,A,COR/FORMA,"Da cor do ouro; da cor da gema do ovo; uma das cores chamadas básicas, pois sua mistura pode dar origem a muitas outras.",Aquela casa amarela é bonita.,AQUEL@ CASA AMAREL@ BONIT@.,ADJETIVO,Nacional
AMARGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amargoSm_Prog001.mp4,True,A,NENHUM,De sabor desagradável ao paladar; como o fel ou o quinino.,"Detesto o gosto do jiló, é muito amargo!",J-I-L-O GOSTO AMARGOmuito DETESTAR!,ADJETIVO,Nacional
AMARRAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amarrarSm_Prog001.mp4,True,A,NENHUM,Atar; enlaçar; dar laços ou nós.,Minha sobrinha de dois anos já sabe amarrar o tênis.,SOBRINH@ ME@ IDADE 2 SABER AMARRAR TÊNIS.,VERBO,Nacional
AMASSADO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amassado1Sm_Prog001.mp4,True,A,NENHUM,Amarrotado; achatado; desalinhado.,"Sua roupa está amassada, o que aconteceu?",ROUPA SE@ AMASSAD@ ACONTECER?,ADJETIVO,Nacional
AMASSADO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amassado2Sm_Prog001.mp4,True,A,NENHUM,Amarrotado; achatado; estragado.,O seu carro está amassado. O que aconteceu? Bateu?,CARRO SE@ AMASSAD@ QUE-ACONTECER? BATER?,ADJETIVO,Nacional
AMASSAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amassar1Sm_Prog001.mp4,True,A,NENHUM,Amarrotar; alterar as linhas de uma superfície; converter em massa; afundar; achatar.,Ontem o carro do meu tio bateu no poste e amassou muito.,ONTEM TI@ ME@ CARRO BATER-POSTE AMASSAR FORTEmuito.,VERBO,Nacional
AMASSAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amassar2Sm_Prog001.mp4,True,A,NENHUM,Amarrotar; achatar.,Você tem coragem de amassar a barata com o pé?,VOCÊ CORAGEM BARATA PÉ-AMASSAR ?,VERBO,Nacional
AMAZONA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amazonaSm_Prog001.mp4,True,A,PROFISSÃO/TRABALHO,Mulher que monta à cavalo.,Você conhece a lenda da amazona? É excelente!,CONHECER L-E-N-D-A MULHER CAVALGAR? EXCELENTE!,SUBSTANTIVO,Nacional
AMAZONAS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amazonasSm_Prog001.mp4,True,A,PAÍS/ESTADO/CIDADE,"Estado do norte do Brasil, cuja capital é Manaus. Nele está situada a Amazônia, a maior área verde do mundo.",O mundo cobiça a floresta do Amazonas.,MUNDO COBIÇA AMAZONAS ÁRVORE+.,SUBSTANTIVO,Nacional
AMBIÇÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ambicaoSm_Prog001.mp4,True,A,SENTIMENTOS,"Desejo veemente de obter riqueza, poder, glória.","Os Estados Unidos têm ambição pelo Brasil, por causa da nossa floresta, rios, montanhas,etc.",USA AMBIÇÃO BRASIL POR-CAUSA FLORESTA MONTANHA RIO DIVERSO+.,SUBSTANTIVO,Nacional
AMBIDESTRO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ambidestroSm_Prog001.mp4,True,A,CORPO,Aquele que é capaz de usar as duas mãos com a mesma facilidade e desenvoltura; quem realiza tarefas com uma ou outra mão.,O mecânico do meu pai é ambidestro.,MECÃNIC@ ME@ P-A-I AMBIDESTR@ .,ADJETIVO,Nacional
AMBOS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ambosSm_Prog001.mp4,True,A,NENHUM,Um e outro; os dois.,"Ambos estão certos, é melhor ficar em paz.",MELHOR P-A-Z AMBOS CERT@.,NUM.,Nacional
AMBULÂNCIA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ambul%C3%A2nciaSm_Prog001.mp4,False,A,TRANPORTE/VEÍCULO,"Carro usado no transporte de doentes e feridos, dotado de maca e de medicamentos para tratamento de emergência.","Ligue rápido para a ambulância, que vovô está passando mal.",V-O-V-O M-A-L RÁPIDO 1sTELEFONAR3s LUZ-PISCARcontinuativo^HOSPITAL.,SUBSTANTIVO,Nacional
AMEAÇAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ameacar1Sm_Prog001.mp4,True,A,NENHUM,"Intimidar, pressionar.",O pai ameaçou o filho para falar a verdade.,PAI AMEAÇAR FILH@ VERDADE FALAR.,VERBO,Nacional
AMEAÇAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ameacar2Sm_Prog001.mp4,True,A,NENHUM,Meter medo; coagir.,"Um homem, na rua, ameaçou a mulher para ela dar-lhe a bolsa.",HOMEM RUA AMEAÇAR MULHER BOLSA DAR.,VERBO,Nacional
AMÉM1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amem1Sm_Prog001.mp4,True,A,NENHUM,Expressão litúrgica que indica perfeita concordância com um artigo de fé.,"Se você for comungar e o padre lhe der a hóstia, responda amém.",S-I VOCÊ IR COMUNGAR PADRE objeto-arredondado-pequenoDAR 2sRESPONDER3s AMÉM,INTERJ.,Nacional
AMÉM2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amem2Sm_Prog001.mp4,True,A,NENHUM,Expressão litúrgica que indica perfeita concordância com um artigo de fé; assim seja.,"Ao terminar o culto, o pastor diz amém.",FIM CULTO PASTOR FALAR AMÉM.,INTERJ.,Nacional
AMENDOIM,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amendoimSm_Prog001.mp4,True,A,FRUTA,"Frutos alimentícios de uma planta herbácea, dos quais também se extrai o óleo.","Amendoim, elefante adora comer!","AMENDOIM, ELEFANTE ADORAR COMER.",SUBSTANTIVO,Nacional
AMÉRICA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/americaSm_Prog001.mp4,True,A,PAÍS/ESTADO/CIDADE,"Continente formado pela América do Norte, a América Central e a América do Sul.",Eu já viajei por todo o continente americano.,EU JÁ VIAJARcontinuativo AMÉRICA TOD@.,SUBSTANTIVO,Nacional
AMÉRICA CENTRAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/america_centralSm_Prog001.mp4,True,A,PAÍS/ESTADO/CIDADE,"Extensão territorial constituída por países de lingua espanhola, como a Guatemala, El Salvador, Nicarágua, Costa Rica, Honduras, Jamaica e Cuba.",Cuba fica na América Central.,C-U-B-A LUGAR AMÉRICA-CENTRAL.,SUBSTANTIVO,Nacional
AMERICA DO NORTE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/america_norteSm_Prog001.mp4,True,A,PAÍS/ESTADO/CIDADE,"Extensão territorial formada por países como os Estados Unidos, o México e Porto Rico.","Estados Unidos, Canadá e México são países da América do Norte.",PAÍS AMÉRICA-DO-NORTE EUA CANADÁ MÉXICO.,SUBSTANTIVO,Nacional
AMERICA DO SUL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/america_sulSm_Prog001.mp4,True,A,PAÍS/ESTADO/CIDADE,"Grande extensão territorial, formada por países de língua espanhola, como a Venezuela, o Chile, o Peru, a Bolívia, a Argentina, e por um único de língua portuguesa, o Brasil.",É melhor a economia da América do Sul se unificar.,AMERICA-DO-SUL ECONOMICA UNIR MELHOR!,SUBSTANTIVO,Nacional
AMERICANO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/americanoSm_Prog001.mp4,True,A,NENHUM,"Natural da América, em especial dos Estados Unidos da América do Norte.",O meu pai é americano mas mora no Brasil há trinta anos.,P-A-I AMERICAN@ MORAR BRASIL 30 ANO.,ADJETIVO,Nacional
AMIGÁVEL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amigavelSm_Prog001.mp4,True,A,SENTIMENTOS,Pacífico; o que se realiza com a concordãncia das partes envolvidas.,O divórcio de um casal de atores famosos foi amigável.,HOMEM^MULHER ATOR FAMOS@ DIVÓRCIO AMIGÁVEL.,ADJETIVO,Nacional
AMIGO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amigoSm_Prog001.mp4,True,A,NENHUM,Aquele a quem estamos ligados por laços de amizade; companheiro.,Ontem eu e meu amigo fomos comer pizza.,ONTEM EU AMIG@ COMER P-I-Z-Z-A,ADJETIVO,Nacional
AMIZADE,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amizadeSm_Prog001.mp4,True,A,SENTIMENTOS,Sentimento fiel de afeição.,Por que vocês dois acabaram com uma amizade tão bonita?,VOCÊS-DOIS AMIZADE BONIT@ ACABAR POR-QUE?!,SUBSTANTIVO,Nacional
AMOLAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amolar1Sm_Prog001.mp4,True,A,NENHUM,Aborrecer; importunar.,"Eu detesto o cheiro de fumaça do cigarro, como ele me amola!",EU DETESTAR CIGARRO FUMAÇA CHEIRAR AMOLAR!,VERBO,Nacional
AMOLAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amolar2Sm_Prog001.mp4,True,A,NENHUM,Afiar na amoladeira ou no rebolo.,"A faca está ruim de cortar, por favor, você me ajuda a amolar?",FACA CORTAR RUIM 2sAJUDAR1s AMOLAR POR-FAVOR?,VERBO,Nacional
AMONTOAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amontoarSm_Prog001.mp4,True,A,NENHUM,Colocar um por cima do outro; juntar de qualquer maneira.,Eu amontoei as coisas no caminhão para levar para a outra casa.,CAMINHÃO EU JOGARcontinuativo ENCHER COISA+ LEVAR OUTR@ CASA.,VERBO,Nacional
AMOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amor1Sm_Prog001.mp4,True,A,SENTIMENTOS,"Grande afeição; forte amizade ; ligação espiritual; o que impele uma pessoa para quem ou que lhe pareça belo, atraente, interessante.",Meu amor por você diminuiu.,EU DIMINUIR AMOR VOCÊ.,SUBSTANTIVO,Nacional
AMORA,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amoraSm_Prog001.mp4,True,A,FRUTA,"Fruto da amoreira e de algumas espécies de silvas. Suculento e doce, costuma ter as cores preto ou vermelho-escuro.",Meu primo nunca comeu amora.,PRIM@ ME@ COMER N-U-N-C-A AMORA.,SUBSTANTIVO,Nacional
AMORTECEDOR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amortecedorSm_Prog001.mp4,True,A,APARELHO/MÁQUINA,Dispositivo mecânico para diminuir ou anular os choques ou vibrações em máquinas e veículos.,O amortecedor do meu carro se quebrou.,CARRO ME@ AMORTECEDOR QUEBRAR.,SUBSTANTIVO,Nacional
AMPLIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ampliarSm_Prog001.mp4,True,A,NENHUM,Aumentar as dimensões de um espaço; fazer ficar maior.,Vou pedir ao engenheiro para ampliar o meu banheiro.,3sPEDIR1s ENGENHEIR@ BANHEIRO ME@ AMPLIAR.,VERBO,Nacional
AMPLO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amploSm_Prog001.mp4,True,A,NENHUM,Que ocupa vasto espaço; largo; grande.,A sala do trabalho do meu pai é ampla e bonita.,TRABALHO P-A-I SALA AMPL@ BONIT@.,ADJETIVO,Nacional
AMPUTAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/amputarSm_Prog001.mp4,True,A,NENHUM,"Cortar por meio de cirurgia; mutilar; retirar uma parte do corpo. Obs. Esse verbo, em LIBRAS, tem concordância com o lugar da parte a ser amputada.",Meu tio caiu da moto e teve que amputar o braço.,TI@ ME@ AMPUTAR-BRAÇO MOTO veículoCAIR.,VERBO,Nacional
ANALFABETO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/analfabetoSm_Prog001.mp4,True,A,NENHUM,Aquele que não sabe ler nem escrever.,"Ele é analfabeto, nunca foi à escola.",EL@ ANALFABET@ N-U-N-C-A ESCOLA IR.,ADJETIVO,Nacional
ANALISAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/analisarSm_Prog001.mp4,True,A,ANIMAL/INSETO/PEIXE/AVE,Verificar detidamente; estudar o que esteja relacionado a um determinado assunto.,Vou analisar sua proposta .,EU ANALISAR PROPOSTA SE@.,VERBO,Nacional
ANCESTRAIS,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ancestraisSm_Prog001.mp4,True,A,FAMÍLIA,Antepassados; parentes de muitas gerações anteriores.,"Na minha família, eu tenho ancestrais surdos.",FÁMILIA ME@ ANCESTRAL TER SURD@.,ADJETIVO,Nacional
ANCIÃO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/anciaoSm_Prog001.mp4,True,A,NENHUM,Pessoa muito idosa; velho e respeitável; de idade avançada.,Eu conheço um ancião que tem uma boa cabeça.,EU CONHECER ANCIÃ@ CABEÇA BO@ JÁ.,ADJETIVO,Nacional
ANCORAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ancorarSm_Prog001.mp4,True,A,NENHUM,Lançar âncora; parar a embarcação; lançar ferros.,O navio demorou muito para ancorar.,NAVIO ANCORAR DEMORARmuito.,VERBO,Nacional
ANDAIME,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andaimeSm_Prog001.mp4,True,A,APARELHO/MÁQUINA,"Armação de madeira e ferro, sobre a qual os operários trabalham na pintura de prédios ou em outras tarefas.",Aquela loja tem andaime para alugar.,L-O-J-A ALI TER ANDAIME ALUGAR.,SUBSTANTIVO,Nacional
ANDAR1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar1Sm_Prog001.mp4,True,A,CASA,Cada um dos pavimentos superiores nas casas acima do térreo.,Eu moro no segundo andar.,EU MORAR 2º ANDAR.,SUBSTANTIVO,Nacional
ANDAR2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar2Sm_Prog001.mp4,True,A,NENHUM,"Mover-se, dando passos.",O elefante tem um andar lento e pesado.,ELEFANTE animalANDAR MOLE PESAD@.,VERBO,Nacional
ANDAR3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar3Sm_Prog001.mp4,True,A,NENHUM,Pedalar; acomodar-se na bicicleta e movê-la.,Vocês duas andarão de bicicleta da escola até o restaurante.,ESCOLA VOCÊS-2 ANDAR-DE-BICLILETA ATÉ RESTAURANTE.,VERBO,Nacional
ANDAR4,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar4Sm_Prog001.mp4,True,A,NENHUM,Evolução de um veículo com a máquina ligada ou sem o funcionamento dos freios.,O carro anda sozinho!,CARRO veículoMOVER SOZINH@!,VERBO,Nacional
ANDAR5,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar5Sm_Prog001.mp4,True,A,NENHUM,Cavalgar; montar um animal e fazê-lo movimentar-se.,"Dom Pedro I andou a cavalo, até São Paulo, durante três dias.",P-E-D-R-O I ANDAR-DE-CAVALO 3 D-I-A ATÉ SÃO PAULO.,VERBO,Nacional
ANDAR6,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar6Sm_Prog001.mp4,True,A,NENHUM,Fazer uma caminhada em direção a determinado lugar.,Hoje andei cinco quilômetros da minha casa à praia.,HOJE pessoaANDAR KM 5 CASA ATÉ PRAIA.,VERBO,Nacional
ANDAR7,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/andar7Sm_Prog001.mp4,True,A,NENHUM,"Andar sem tocar o solo com todo o pé, para ter maior controle de movimentos.","Não faça barulho, ande nas pontas dos pés e assim evite acordar as pessoas.",BARULHO NÃO ANDAR-PONTA-PÉ EVITAR PESSOA ACORDAR.,VERBO,Nacional
ANEL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/anelSm_Prog001.mp4,True,A,VESTUÁRIO/COMPLEMENTOS,"Pequeno aro confeccionado em ouro, prata, osso ou outros materiais, para usar nos dedos.",Seu anel é lindo!,ANEL SE@ LIND@!,SUBSTANTIVO,Nacional
ANGUSTIADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/angustiadoSm_Prog001.mp4,True,A,NENHUM,Aflito; agoniado; atormentado.,"Eu estou triste, angustiado porque meu primo morreu ontem.",EU TRISTE ANGUSTIAD@ PRIM@ ME@ MORRER ONTEM.,ADJETIVO,Nacional
ANGUSTIAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/angustiarSm_Prog001.mp4,True,A,NENHUM,Causar angústia; afligir; atormentar.,"Não se angustie, porque seu carro roubado já foi encontrado.",ANGUSTIAR NÃO PORQUE CARRO SE@ ROUBAD@ ENCONTRAR JÁ.,VERBO,Nacional
ANIMAL,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/animaisSm_Prog001.mp4,True,A,ANIMAL/INSETO/PEIXE/AVE,Conjunto dos seres vivos que possuem sensibilidade e motilidade próprios.,No zoológico há vários animais.,ZOOLÓGICO TER ANIMAL VÁRI@.,SUBSTANTIVO,Nacional
ANIMAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/animarSm_Prog001.mp4,False,A,NENHUM,Criar ou inspirar ânimo; ter ou estimular coragem e vigor.,"Você hoje terminou o namoro, mas não fique triste, anime-se.",HOJE VOCÊ NAMORAR-TERMINAR TRISTE NÃO ANIMAR!,VERBO,Nacional
ANIQUILAR,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aniquilarSm_Prog001.mp4,True,A,NENHUM,Destruir; desmanchar; reduzir a nada.,O terremoto aniquilou a cidade toda.,TERREMOTO CIDADE TOD@ ANIQUILAR.,VERBO,Nacional
ANIVERSÁRIO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aniversario1Sm_Prog001.mp4,True,A,NENHUM,"O dia do nascimento, comemorado a cada ano.",O aniversário dela é amanhã.,ANIVERSÁRIO DEL@ AMANHÃ.,SUBSTANTIVO,Nacional
ANIVERSÁRIO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/aniversario2Sm_Prog001.mp4,True,A,NENHUM,"O dia do nascimento, comemorado a cada ano.",Hoje é o aniversário de um aninho do meu neto.,APAGAR-VELA BATER-PALMAS NET@ ME@ 1 IDADE HOJE.,SUBSTANTIVO,Nacional
ANJO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/anjoSm_Prog001.mp4,True,A,NENHUM,Ser espiritual que representa um mensageiro entre Deus e os homens.,Ontem eu dormi e sonhei com anjos.,ONTEM DORMIR EU SONHAR ANJO MUIT@.,SUBSTANTIVO,Nacional
ANO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/anoSm_Prog001.mp4,True,A,ANO SIDERAL,"Cada período de doze meses, compreendido entre 01 de janeiro e 31 de dezembro.",O ano tem 12 meses.,ANO TER 12 MÊS.,SUBSTANTIVO,Nacional
ANO NOVO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_novo1Sm_Prog001.mp4,True,A,ANO SIDERAL,Data em que é comemorado o início de um novo ano.,Feliz ano novo!,FELIZ ANO NOV@!,LOC. SUBST.,Nacional
ANO NOVO2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_novo2Sm_Prog001.mp4,True,A,ANO SIDERAL,Data em que é comemorado o início de um novo ano.,No ano novo vou viajar para a França.,PRÓXIMO ESTORAR-CHAMPANHE EU VIAJAR FRANÇA.,LOC. SUBST.,Nacional
ANO NOVO3,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_novo3Sm_Prog001.mp4,True,A,ANO SIDERAL,O ano que ainda vai chegar; no ano que vem.,No início do próximo ano eu vou à casa da praia do meu pai em Cabo Frio.,ANO-QUE-VEM ANO-NOVO IR<vou> PRAIA C-F CASA PAI.,SUBSTANTIVO,Nacional
ANO PASSADO,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_passadoSm_Prog001.mp4,True,A,ANO SIDERAL,O ano anterior a este.,"No ano passado, comprei um carro.",ANO-PASSADO COMPRAR CARRO.,LOC. SUBST.,Nacional
ANO QUE VEM1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_que_vem1Sm_Prog001.mp4,True,A,ANO SIDERAL,O próximo ano; o ano que ainda vai chegar.,No ano que vem vamos nos formar em pedagogia.,ANO-QUE-VEM NÓS-2 FORMAR PEDAGOGIA.,LOC. SUBST.,Nacional
ANO QUE VEM2,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano_que_vem2Sm_Prog001.mp4,True,A,ANO SIDERAL,O próximo ano; o ano que ainda vai chegar.,"No ano que vem, eu vou mudar de casa.",ANO DEPOIS EU MUDAR CASA.,LOC. SUBST.,Nacional
ANO1,https://www.ines.gov.br/dicionario-de-libras/public/media/palavras/videos/ano2Sm_Prog001.mp4,True,A,ANO SIDERAL,Ano de fabricação.,Qual o ano do seu carro ?,CARRO A-N-O?,SUBSTANTIVO,Nacional
